id,name,slug,category,retail_price,bulk_price,bulk_min_qty,has_thumbnail,variant_group_id,variant_label
94d1f884-77b9-4d88-9f3c-3b945e7074a5,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (PURPLE),12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-purple,Accessories,169.0,,,yes,11111111-0001-0001-0001-000000000001,Purple
a17c9085-fa8a-404f-9ffd-2c3257a3f793,15M Sprial Hose with 5 Functions,15m-sprial-hose-with-5-functions,Accessories,465.0,,,yes,,
e601bcc1-fd70-4565-8822-6c115b9941e8,36 LED MULTIFUNCTION MINI FLAT DJ PAR LIGHTS STAGE LIGHTS,36-led-multifunction-mini-flat-dj-par-lights-stage-lights,Accessories,465.0,,,yes,,
b78cb359-797c-4228-84ad-cebf272f6808,"Dental Floss Toothpicks, 6 Pack, Oral Hygiene Care",dental-floss-toothpicks-6-pack-oral-hygiene-care,Accessories,105.0,,,yes,,
beec1b18-1689-4e25-b835-e9ec271b14f5,LS2B Fork Small Knife Set,ls2b-fork-small-knife-set,Kitchen,26.0,13.0,288,yes,,
0cbefe31-9268-48ce-a612-c727817fd696,"LED Floodlight, 20W, IP66 Waterproof Rating, Outdoor and Security Light",led-floodlight-20w-ip66-waterproof-rating-outdoor-and-security-light,Accessories,199.0,,,yes,,
c7988b15-6a5f-45d8-ae53-a47ec42b151e,Aiwa 40 Pieces Combination Socket Wrench Set,aiwa-40-pieces-combination-socket-wrench-set,Accessories,185.0,,,yes,,
1748bc6e-0949-4c1e-b919-5f89bc979555,"M8 Mini WIFI Door Bell with Chime, Visualisable Smart Doorbell - V380 Pro",m8-mini-wifi-door-bell-with-chime-visualisable-smart-doorbell-v380-pro,CCTV,450.0,,,yes,,
cad57a91-ffd5-4a24-a854-5218a700268a,"Mini LED Floodlight, 50W, IP66 Waterproof Rating",mini-led-floodlight-50w-ip66-waterproof-rating,Accessories,699.0,,,yes,,
fa570ed8-7ddf-4ce4-ab3d-511eb66e1b8e,"Cut-Resistant Gloves Set, Stainless Steel Mesh and White Knit, Blue Wrist Strap, Safety Kitchen Gloves",cut-resistant-gloves-set-stainless-steel-mesh-and-white-knit-blue-wrist-strap-sa,Accessories,199.0,,,yes,,
8bcf4a43-1348-43bb-b1b8-c4ae5018dda9,1.2L STAINLESS STEEL VACUUM TUMBLER CUP - BABY BLUE,12l-stainless-steel-vacuum-tumbler-cup-baby-blue,Accessories,169.0,,,yes,11111111-0002-0002-0002-000000000002,Baby Blue
eb8e7a00-9f05-414e-a33e-4b36d726ee1f,CX98-57 Daytime Running Light (DRL),cx98-57-daytime-running-light-drl,Automobile,80.0,40.0,200,yes,,
cec75b0a-6d2b-4c96-9d16-197d5d5edd0a,DALING PROFESSIONAL HAIR CLIPPERS DL-1072,daling-professional-hair-clippers-dl-1072,Accessories,365.0,,,yes,,
edd96c44-b489-493c-a4d9-debaf5d38dc8,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (TURQUOISE),12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-turquoise,Accessories,169.0,,,yes,11111111-0001-0001-0001-000000000001,Turquoise
5634130d-a4fc-4b84-b630-39076f7643ad,GW-170 32G USB Flash Drive,gw-170-32g-usb-flash-drive,Accessories,130.0,65.0,500,yes,,
7ec19f53-b32b-42b1-9df3-7f3c50913222,"Digimark-QHR31 Quartz Room Heater with Water Level Indicator, 2-Mode Control, Grey",digimark-qhr31-quartz-room-heater-with-water-level-indicator-2-mode-control-grey,Accessories,699.0,,,yes,,
dc52c448-7526-4346-9a81-90f1215c9035,"HMK Scratch Swirl Remover, Micro-Polishing Technology, Car Paint Care, 300ml",hmk-scratch-swirl-remover-micro-polishing-technology-car-paint-care-300ml,Accessories,259.0,,,yes,,
e168aaab-a906-42bc-8fbf-ae354e5431a9,C15-38-3 Speaker Wire 2x0.3 100Y Bulk,c15-38-3-speaker-wire-2x03-100y-bulk,Cables,204.0,102.0,10,yes,,
ef588f3c-0267-498c-8fa2-e9c02b42c025,"Solar Powered Portable Megaphone Speaker, Handheld Amplifier with Handle",solar-powered-portable-megaphone-speaker-handheld-amplifier-with-handle,Solar,439.0,,,yes,,
e78563a2-60ca-4065-959e-c88fae823c6c,"Portable Car Tyre Inflator Pump, Black and Yellow, with Pressure Gauge, 100 psi, 12.4 x 16 cm",portable-car-tyre-inflator-pump-black-and-yellow-with-pressure-gauge-100-psi-124,Accessories,220.0,,,yes,,
35b13062-a600-4038-826c-980d5f8ca2f9,T9 Professional Hair Clipper,t9-professional-hair-clipper,Accessories,70.0,35.0,100,yes,,
584e8f57-1880-4ef9-a307-f04b7cff833a,LED LCD PDF Flat panel TV Wall Mount for 40-85 inch TV's,led-lcd-pdf-flat-panel-tv-wall-mount-for-40-85-inch-tvs,Accessories,195.0,,,yes,,
cf5ad90a-b408-47f2-8502-7fbb167f35df,Submersible LED Lights with Remote: Waterproof Pool Lights Underwater Battery Operated Controlled 16 Color Changing Hot Tub Lights for Pool Shower Aquarium Decoration (SET OF 2),submersible-led-lights-with-remote-waterproof-pool-lights-underwater-battery-ope,Accessories,200.0,,,yes,,
9166e05b-dc4d-49a8-93ad-60b7a8b6f5cd,"Electric Bug Zapper Racket, Rechargeable Mosquito Swatter, White",electric-bug-zapper-racket-rechargeable-mosquito-swatter-white,Accessories,399.0,,,yes,,
c86eb81e-667a-4b32-91e7-d0a9838aee06,Multifunctional Electric Rice Cooker - 5L,multifunctional-electric-rice-cooker-5l,Accessories,699.0,,,yes,,
4e68e482-4ec7-49b5-ac81-b76a5ced7884,KLGO 30000mAh Large Capacity Power Bank,klgo-30000mah-large-capacity-power-bank,Chargers,699.0,,,yes,,
