product_name,status,cloudinary_url_1,cloudinary_url_2,cloudinary_url_3,error
"30x40cm Bamboo Cutting Board with Metal Ring, Rectangular, Natural Wood Grain, Kitchen Chopping Board",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046919/cx-electronics/products/30x40cm-bamboo-cutting-board-with-metal-ring-rectangular-natural-wood-grain-kitc-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046920/cx-electronics/products/30x40cm-bamboo-cutting-board-with-metal-ring-rectangular-natural-wood-grain-kitc-2.jpg,,
350ml Xiaoxushan LED humidifier - JSQ04 (DARK BROWN),ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046922/cx-electronics/products/350ml-xiaoxushan-led-humidifier-jsq04-dark-brown-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046923/cx-electronics/products/350ml-xiaoxushan-led-humidifier-jsq04-dark-brown-2.jpg,,
"35L Military Tactical Backpack – Outdoor Army Assault Pack for Hunting, Trekking, Camping & Outdoor Activities, Black",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046925/cx-electronics/products/35l-military-tactical-backpack-outdoor-army-assault-pack-for-hunting-trekking-ca-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046926/cx-electronics/products/35l-military-tactical-backpack-outdoor-army-assault-pack-for-hunting-trekking-ca-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046928/cx-electronics/products/35l-military-tactical-backpack-outdoor-army-assault-pack-for-hunting-trekking-ca-3.jpg,
36 LED MULTIFUNCTION MINI FLAT DJ PAR LIGHTS STAGE LIGHTS,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046930/cx-electronics/products/36-led-multifunction-mini-flat-dj-par-lights-stage-lights-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046932/cx-electronics/products/36-led-multifunction-mini-flat-dj-par-lights-stage-lights-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046933/cx-electronics/products/36-led-multifunction-mini-flat-dj-par-lights-stage-lights-3.jpg,
3D MOON LAMP,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046935/cx-electronics/products/3d-moon-lamp-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046937/cx-electronics/products/3d-moon-lamp-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046939/cx-electronics/products/3d-moon-lamp-3.jpg,
"3Pcs Black Motivational Water Bottles with Time Marker, Lockable Lid & Silicone Straw, Leak-Proof Reusable Plastic Bottles",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046941/cx-electronics/products/3pcs-black-motivational-water-bottles-with-time-marker-lockable-lid-silicone-str-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046942/cx-electronics/products/3pcs-black-motivational-water-bottles-with-time-marker-lockable-lid-silicone-str-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046944/cx-electronics/products/3pcs-black-motivational-water-bottles-with-time-marker-lockable-lid-silicone-str-3.jpg,
4 BAR CERAMIC ELECTRIC HEATER - DGM-QHR46,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046945/cx-electronics/products/4-bar-ceramic-electric-heater-dgm-qhr46-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046947/cx-electronics/products/4-bar-ceramic-electric-heater-dgm-qhr46-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046949/cx-electronics/products/4-bar-ceramic-electric-heater-dgm-qhr46-3.jpg,
4 in 1 OTG Four Ports : Lightning + Type C + Micro USB + USB Card Reader,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046951/cx-electronics/products/4-in-1-otg-four-ports-lightning-type-c-micro-usb-usb-card-reader-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046952/cx-electronics/products/4-in-1-otg-four-ports-lightning-type-c-micro-usb-usb-card-reader-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046954/cx-electronics/products/4-in-1-otg-four-ports-lightning-type-c-micro-usb-usb-card-reader-3.jpg,
4 SLOT SMART BATTERY CHARGER - HD-8992C,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046956/cx-electronics/products/4-slot-smart-battery-charger-hd-8992c-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046957/cx-electronics/products/4-slot-smart-battery-charger-hd-8992c-2.jpg,,
"4-Digit Combination Padlock, Brass Body, Chrome Shackle, Long Shackle",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046959/cx-electronics/products/4-digit-combination-padlock-brass-body-chrome-shackle-long-shackle-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046961/cx-electronics/products/4-digit-combination-padlock-brass-body-chrome-shackle-long-shackle-2.jpg,,
