slug,product_name,image_url_1,image_url_2,image_url_3,Has Variants
gt-54ch-5in-car-coaxial-speaker-300w-4-ohms-93db-sensitivity-midrange-loudspeake,"GT-5.4CH 5in Car Coaxial Speaker, 300W 4 Ohms 93dB Sensitivity Midrange Loudspeaker, Door Speakers for Car or Truck Stereo Sound System",https://m.media-amazon.com/images/I/610RBs1ANCL._AC_SL1260_.jpg,https://m.media-amazon.com/images/I/71RvaK9OU7L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/715XW0wG+iL._AC_SL1500_.jpg,
gw-professional-hair-clipper-with-lcd-display-4-guide-combs-usb-rechargeable-cle,"GW Professional Hair Clipper with LCD Display, 4 Guide Combs, USB Rechargeable, Cleaning Brush Included - GW-9775",https://m.media-amazon.com/images/I/516RG8U5JsL._AC_SL1015_.jpg,https://m.media-amazon.com/images/I/612vbLndcWL._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/51bQo8yhbrL._AC_SL1200_.jpg,
h09-mini-usb-powered-personal-air-humidifier-with-rgb-ambient-colorful-lighting-,"H09 Mini USB Powered Personal Air Humidifier with RGB Ambient Colorful Lighting & Auto Shut-Off, – Ideal for Bedrooms, Offices and Cars - Black",https://m.media-amazon.com/images/I/419Zh6WaqwL._AC_.jpg,https://m.media-amazon.com/images/I/41tQyCmPBqL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/61y6r9ugtKL._AC_.jpg,
h09-mini-usb-powered-personal-air-humidifier-with-rgb-ambient-colorful-lighting--1,"H09 Mini USB Powered Personal Air Humidifier with RGB Ambient Colorful Lighting & Auto Shut-Off, – Ideal for bedrooms, offices, cars - White",https://m.media-amazon.com/images/I/41mkUmNTsUL._AC_.jpg,https://m.media-amazon.com/images/I/61kMc84cGCL._AC_.jpg,,
hand-riveter-48mm-size,"Hand Riveter, 4.8mm Size",https://m.media-amazon.com/images/I/41Yq4YjI3-L._AC_SL1200_.jpg,,,
happy-foodie-portable-gas-stove-qlf-022d-single-burner-black,"Happy Foodie Portable Gas Stove QLF-022D, Single Burner, Black",https://m.media-amazon.com/images/I/51sH2FN8CxL._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/61YzFf5Fi8L._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/617tciSxoRL._AC_SL1200_.jpg,
headlight-restoration-spray-professional-car-headlamp-spray-2-pack,"Headlight Restoration Spray, Professional Car Headlamp Spray, 2-Pack",https://m.media-amazon.com/images/I/41E67Zl9VyL._AC_.jpg,https://m.media-amazon.com/images/I/514WLgNbFcL._AC_.jpg,,
high-power-green-laser-pointer-with-turn-switch-key-black,"High Power Green Laser Pointer with Turn Switch Key, Black","https://static.wixstatic.com/media/c6e28e_b8897be9b0c94a60aea8e6554f26f37d~mv2.jpg/v1/fill/w_489,h_358,al_c,q_85/c6e28e_b8897be9b0c94a60aea8e6554f26f37d~mv2.jpg",https://beamqlaser.com/wp-content/uploads/10000m-532-nm-Green-Laser-pointer-303-Powerful-device-laser-Sight-Light-verde-lazer-Pen-Head-3.jpg,https://beamqlaser.com/wp-content/uploads/10000m-532-nm-Green-Laser-pointer-303-Powerful-device-laser-Sight-Light-verde-lazer-Pen-Head-2.jpg,
high-pressure-multi-functional-cordless-rechargeable-cleaning-gun,HIGH PRESSURE MULTI-FUNCTIONAL CORDLESS RECHARGEABLE CLEANING GUN,https://m.media-amazon.com/images/I/51EoMFoRokL._AC_.jpg,https://m.media-amazon.com/images/I/51qb5m9c94L._AC_.jpg,https://m.media-amazon.com/images/I/61DR4YdtdEL._AC_SL1200_.jpg,
hmh-accessories-spray-paint-acrylic-epoxy-fast-dry-interior-exterior-450ml-red-w,"Hmh Accessories Spray Paint, Acrylic Epoxy, Fast Dry, Interior-Exterior, 450ml, Red, White, Blue - Set of 3",https://m.media-amazon.com/images/I/61XwqhzEQNL._AC_SL1200_.jpg,,,
hmk-scratch-swirl-remover-micro-polishing-technology-car-paint-care-300ml,"HMK Scratch Swirl Remover, Micro-Polishing Technology, Car Paint Care, 300ml",https://m.media-amazon.com/images/I/611FuOC9H7L._AC_SL1200_.jpg,,,
hoaitri-super-heavy-duty-aa-batteries-15v-r6s-size-0-mercury-and-cadmium-battery,"HOAITRI Super Heavy Duty AA Batteries, 1.5V R6S Size, 0% Mercury and Cadmium, Battery Pack - 40 PCS",https://media.takealot.com/covers_images/91c20cffc1d9438dba45bd3d2655443a/s-zoom.file,https://media.takealot.com/covers_images/d46c8f1671b94ae997e83fdf04d8ee1c/s-zoom.file,https://media.takealot.com/covers_images/4da369b026a84d5992cc4f0c641a8ce0/s-zoom.file,
homonth-brake-bomber-non-acid-wheel-cleaner-and-bug-remover-120ml,"Homonth Brake Bomber Non-Acid Wheel Cleaner and Bug Remover, 120ml",https://m.media-amazon.com/images/I/61YCwuINtuL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71O-hbZrnAL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71S08PYR8ML._AC_SL1500_.jpg,
hot-melt-glue-gun-diy-home-tool-electric-fast-and-easy-100-240v,"Hot Melt Glue Gun, DIY Home Tool, Electric, Fast and Easy, 100-240V",https://m.media-amazon.com/images/I/31sgEHprUHL._AC_.jpg,https://m.media-amazon.com/images/I/419BXBHjt-L._AC_.jpg,,
human-body-induction-light-operated-solar-sensor-light-set-of-2,HUMAN BODY INDUCTION + LIGHT OPERATED SOLAR SENSOR LIGHT - SET OF 2,https://m.media-amazon.com/images/I/51XXW201h2L._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/51mGJmBGHlL._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/51ouZN807dL._AC_.jpg,
i16-pro-mini-mobile-phone-dual-sim-triple-camera-black,"I16 Pro Mini Mobile Phone, Dual SIM, Triple Camera, Black",https://m.media-amazon.com/images/I/51VhyphIr-L._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/518JzYmBIcL._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/61EaeXp6QJL._AC_SL1200_.jpg,
in-car-car-cigarette-lighter-splitter-3-sockets-with-2-usb-ports-120w-12v24v,"IN-CAR Car Cigarette Lighter Splitter, 3 Sockets with 2 USB Ports, 120W, 12V/24V",https://m.media-amazon.com/images/I/51xFa1QwxhL._AC_.jpg,https://m.media-amazon.com/images/I/51skSKDGm1L._AC_.jpg,,
instant-electric-heating-water-faucet-and-shower,INSTANT ELECTRIC HEATING WATER FAUCET AND SHOWER,https://media.takealot.com/covers_images/220dcb9c69ab422bbf9a1e678572f936/s-zoom.file,https://media.takealot.com/covers_images/fdb5232a3a71447b9669608fd069ead8/s-zoom.file,https://media.takealot.com/covers_images/dc1b02f363da487e90a1be119ebcd189/s-list.file,
insulated-lunch-bag-with-dual-compartments-adjustable-shoulder-strap-grey-bt021-,"Insulated Lunch Bag with Dual Compartments, Adjustable Shoulder Strap, Grey - BT021-G",https://m.media-amazon.com/images/I/41T+AYwrdDL._AC_.jpg,https://m.media-amazon.com/images/I/41ibIMCN4GL._AC_.jpg,,
insulated-lunch-bag-with-dual-compartments-black-waterproof-thermal-cooler-tote-,"Insulated Lunch Bag with Dual Compartments, Black, Waterproof Thermal Cooler Tote with Shoulder Strap - BT021-BLK",https://m.media-amazon.com/images/I/41bs7GFuLLL._AC_.jpg,https://m.media-amazon.com/images/I/41ibIMCN4GL._AC_.jpg,,
insulated-lunch-bag-with-shoulder-strap-burgundy-compact-cooler-tote-with-zipper,"Insulated Lunch Bag with Shoulder Strap, Burgundy, Compact Cooler Tote with Zipper - 717",https://m.media-amazon.com/images/I/61naa-9lxmL._AC_SL1500_.jpg,,,
insulated-lunch-bag-with-shoulder-strap-grey-heather-with-brown-trim-dual-zip-cl,"Insulated Lunch Bag with Shoulder Strap, Grey Heather with Brown Trim, Dual Zip Closure",https://m.media-amazon.com/images/I/31SJnEZtgGL._AC_.jpg,,,
insulated-lunch-box-with-shoulder-strap-black-and-brown-dual-zipper-compartments,"Insulated Lunch Box with Shoulder Strap, Black and Brown, Dual Zipper Compartments - 5585-BLK",https://m.media-amazon.com/images/I/3165G+jjFUL._AC_.jpg,,,
intelligent-moitoring-camera-mini-wifi-ip-camera-with-motion-detection-yj-b06,INTELLIGENT MOITORING CAMERA MINI WIFI IP CAMERA WITH MOTION DETECTION - YJ-B06,https://m.media-amazon.com/images/I/41e6iz91sEL._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/51QP5qXELGL._AC_SL1001_.jpg,,
intelligent-personal-body-weight-bluetooth-scale-with-bmi-measurements-app-and-l,Intelligent Personal Body Weight Bluetooth Scale With BMI Measurements App and LED Display - (Battery Operated),https://m.media-amazon.com/images/I/51vg3Elh0YL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/51z0QoQt6mL._AC_.jpg,,
iron-lock-padlock-set-brass-and-steel-32-38-50mm-sizes-12-pieces,"Iron Lock Padlock Set, Brass and Steel, 32-38-50mm Sizes, 12 Pieces",https://m.media-amazon.com/images/I/61ii4Nb2CSL._AC_.jpg,https://m.media-amazon.com/images/I/71+4AVxEVBL._AC_SL1500_.jpg,,
ivy-adhesive-double-sided-reusable-grip-tape,IVY ADHESIVE DOUBLE-SIDED REUSABLE GRIP TAPE,https://m.media-amazon.com/images/I/51Lf69jtwPL._AC_.jpg,https://m.media-amazon.com/images/I/51wPoxwG8pL._AC_.jpg,https://m.media-amazon.com/images/I/61c+rnumcKL._AC_SL1000_.jpg,
jh-2000-spirit-level-400mm-magnetic-uv-resistant-with-shockproof-vials,"JH-2000 Spirit Level, 400mm, Magnetic, UV Resistant with Shockproof Vials",https://m.media-amazon.com/images/I/41rq0teTFqL._AC_.jpg,https://m.media-amazon.com/images/I/41gPQSs83WL._AC_.jpg,https://m.media-amazon.com/images/I/51++PYEJ2iL._AC_.jpg,
jh-2000-spirit-level-600mm-magnetic-uv-resistant-with-shockproof-vials,"JH-2000 Spirit Level, 600mm, Magnetic, UV Resistant with Shockproof Vials",https://m.media-amazon.com/images/I/41kiXt8vBhL._AC_.jpg,https://m.media-amazon.com/images/I/41j07c0GriL._AC_.jpg,https://m.media-amazon.com/images/I/51++PYEJ2iL._AC_.jpg,
